tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
s__sp._NAM3COL9,g__Staphylococcus,rank_6,s__sp._NAM3COL9,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__sp._NAM3COL9
s__lutrae,g__Staphylococcus,rank_6,s__lutrae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__lutrae
s__pusilla,g__Nonomuraea,rank_6,s__pusilla,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Nonomuraea,s__pusilla
g__Labrys,f__Xanthobacteraceae,rank_5,g__Labrys,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Labrys,
s__sp._WJW,g__Labrys,rank_6,s__sp._WJW,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Labrys,s__sp._WJW
s__phenazinium,g__Paraburkholderia,rank_6,s__phenazinium,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__phenazinium
g__Thioclava,f__Rhodobacteraceae,rank_5,g__Thioclava,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thioclava,
s__dalianensis,g__Thioclava,rank_6,s__dalianensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thioclava,s__dalianensis
s__sp._CF095,g__Paenibacillus,rank_6,s__sp._CF095,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__sp._CF095
g__Candidatus_Nitrosotenuis,p__Thaumarchaeota,rank_2,g__Candidatus_Nitrosotenuis,Root,k__Archaea,p__Thaumarchaeota,g__Candidatus_Nitrosotenuis,,,,
s__Nitrosotenuis_cloacae,g__Candidatus_Nitrosotenuis,rank_3,s__Nitrosotenuis_cloacae,Root,k__Archaea,p__Thaumarchaeota,g__Candidatus_Nitrosotenuis,s__Nitrosotenuis_cloacae,,,
s__sp._BRH_c9,g__Hoeflea,rank_6,s__sp._BRH_c9,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Hoeflea,s__sp._BRH_c9
s__freii,g__Penicillium,rank_6,s__freii,Root,k__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__freii
s__vulpis,g__Brucella,rank_6,s__vulpis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,s__vulpis
s__stagnalis,g__Burkholderia,rank_6,s__stagnalis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__stagnalis
g__Blautia,f__Lachnospiraceae,rank_5,g__Blautia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,
s__obeum,g__Blautia,rank_6,s__obeum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__obeum
s__canis,g__Brucella,rank_6,s__canis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,s__canis
g__Pararhizobium,f__Rhizobiaceae,rank_5,g__Pararhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Pararhizobium,
s__antarcticum,g__Pararhizobium,rank_6,s__antarcticum,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Pararhizobium,s__antarcticum
s__sp._NAS80.1,g__Bradyrhizobium,rank_6,s__sp._NAS80.1,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__sp._NAS80.1
s__bacterium_68-20,o__Burkholderiales,rank_4,s__bacterium_68-20,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,s__bacterium_68-20,,
g__Herbaspirillum,f__Oxalobacteraceae,rank_5,g__Herbaspirillum,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Herbaspirillum,
s__sp._CF444,g__Herbaspirillum,rank_6,s__sp._CF444,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Herbaspirillum,s__sp._CF444
s__sp._YR527,g__Nocardioides,rank_6,s__sp._YR527,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__sp._YR527
g__Yangia,f__Rhodobacteraceae,rank_5,g__Yangia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Yangia,
s__pacifica,g__Yangia,rank_6,s__pacifica,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Yangia,s__pacifica
s__aurantiacus,g__Streptomyces,rank_6,s__aurantiacus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__aurantiacus
s__sp._31Cvi3.1E,g__Arthrobacter,rank_6,s__sp._31Cvi3.1E,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__sp._31Cvi3.1E
g__Labrenzia,f__Rhodobacteraceae,rank_5,g__Labrenzia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Labrenzia,
s__suaedae,g__Labrenzia,rank_6,s__suaedae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Labrenzia,s__suaedae
s__phlei,g__Mycolicibacterium,rank_6,s__phlei,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__phlei
s__malaysiensis,g__Streptomyces,rank_6,s__malaysiensis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__malaysiensis
s__porcinum,g__Mycolicibacterium,rank_6,s__porcinum,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__porcinum
g__Enterovibrio,f__Vibrionaceae,rank_5,g__Enterovibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Enterovibrio,
s__norvegicus,g__Enterovibrio,rank_6,s__norvegicus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Enterovibrio,s__norvegicus
s__sp._V2,g__Acinetobacter,rank_6,s__sp._V2,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__sp._V2
s__bereziniae,g__Acinetobacter,rank_6,s__bereziniae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__bereziniae
f__Beijerinckiaceae,o__Rhizobiales,rank_4,f__Beijerinckiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,
g__Beijerinckia,f__Beijerinckiaceae,rank_5,g__Beijerinckia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Beijerinckia,
s__sp._28-YEA-48,g__Beijerinckia,rank_6,s__sp._28-YEA-48,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Beijerinckia,s__sp._28-YEA-48
s__sp._YR573,g__Chitinophaga,rank_6,s__sp._YR573,Root,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__sp._YR573
f__Planococcaceae,o__Bacillales,rank_4,f__Planococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,
g__Sporosarcina,f__Planococcaceae,rank_5,g__Sporosarcina,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Sporosarcina,
s__ureae,g__Sporosarcina,rank_6,s__ureae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Sporosarcina,s__ureae
s__wolinskyi,g__Mycolicibacterium,rank_6,s__wolinskyi,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__wolinskyi
s__vaccae,g__Mycolicibacterium,rank_6,s__vaccae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__vaccae
s__saprophyticus,g__Staphylococcus,rank_6,s__saprophyticus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__saprophyticus
s__bacterium_61-8,p__Verrucomicrobia,rank_2,s__bacterium_61-8,Root,k__Bacteria,p__Verrucomicrobia,s__bacterium_61-8,,,,
s__shandongensis,g__Saccharopolyspora,rank_6,s__shandongensis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__shandongensis
s__vulneris,g__Mycolicibacterium,rank_6,s__vulneris,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__vulneris
s__rhizophila,g__Kocuria,rank_6,s__rhizophila,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__rhizophila
s__sp._WM6349,g__Streptomyces,rank_6,s__sp._WM6349,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._WM6349
s__catudaia,g__Caballeronia,rank_6,s__catudaia,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Caballeronia,s__catudaia
s__lari,g__Campylobacter,rank_6,s__lari,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__lari
f__Microbacteriaceae,o__Micrococcales,rank_4,f__Microbacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,
g__Microbacterium,f__Microbacteriaceae,rank_5,g__Microbacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,
s__enclense,g__Microbacterium,rank_6,s__enclense,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__enclense
s__harveyi,g__Vibrio,rank_6,s__harveyi,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__harveyi
g__Mastigocladus,f__Hapalosiphonaceae,rank_4,g__Mastigocladus,Root,k__Bacteria,p__Cyanobacteria,o__Nostocales,f__Hapalosiphonaceae,g__Mastigocladus,,
s__laminosus,g__Mastigocladus,rank_5,s__laminosus,Root,k__Bacteria,p__Cyanobacteria,o__Nostocales,f__Hapalosiphonaceae,g__Mastigocladus,s__laminosus,
s__cenocepacia,g__Burkholderia,rank_6,s__cenocepacia,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__cenocepacia
s__xenovorans,g__Paraburkholderia,rank_6,s__xenovorans,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__xenovorans
o__Rhodocyclales,c__Betaproteobacteria,rank_3,o__Rhodocyclales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,,,
f__Zoogloeaceae,o__Rhodocyclales,rank_4,f__Zoogloeaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,,
g__Thauera,f__Zoogloeaceae,rank_5,g__Thauera,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,
s__sp._27,g__Thauera,rank_6,s__sp._27,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__sp._27
s__sp._GM49,g__Pseudomonas,rank_6,s__sp._GM49,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._GM49
s__roseochromogenus,g__Streptomyces,rank_6,s__roseochromogenus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__roseochromogenus
s__bacterium_RIFCSPLOWO2_12_FULL_62_13b,c__Betaproteobacteria,rank_3,s__bacterium_RIFCSPLOWO2_12_FULL_62_13b,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,s__bacterium_RIFCSPLOWO2_12_FULL_62_13b,,,
s__marinuse3,g__Pseudooceanicola,rank_6,s__marinuse3,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola,s__marinuse3
s__ornithocola,g__Campylobacter,rank_6,s__ornithocola,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__ornithocola
s__weihenstephanensise1,g__Listeria,rank_6,s__weihenstephanensise1,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__weihenstephanensise1
g__Cystobacter,f__Archangiaceae,rank_5,g__Cystobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Archangiaceae,g__Cystobacter,
s__fuscus,g__Cystobacter,rank_6,s__fuscus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Archangiaceae,g__Cystobacter,s__fuscus
g__Mycobacteroides,f__Mycobacteriaceae,rank_5,g__Mycobacteroides,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacteroides,
s__abscessus,g__Mycobacteroides,rank_6,s__abscessus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacteroides,s__abscessus
s__sp._NRS527,g__Nitrosospira,rank_6,s__sp._NRS527,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._NRS527
s__sp._GS832,g__Nitrosospira,rank_6,s__sp._GS832,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._GS832
s__syringae_group_genomosp._3,g__Pseudomonas,rank_6,s__syringae_group_genomosp._3,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__syringae_group_genomosp._3
g__Elstera,f__Rhodospirillaceae,rank_5,g__Elstera,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Elstera,
s__litoralise1,g__Elstera,rank_6,s__litoralise1,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Elstera,s__litoralise1
s__sp._9SS1,g__Nitrosospira,rank_6,s__sp._9SS1,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._9SS1
s__endophyticuse1,g__Bacillus,rank_6,s__endophyticuse1,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__endophyticuse1
s__sp._TCH716,g__Nitrosospira,rank_6,s__sp._TCH716,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._TCH716
s__sp._TCH711,g__Nitrosospira,rank_6,s__sp._TCH711,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._TCH711
s__sp._PJA1,g__Nitrosospira,rank_6,s__sp._PJA1,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._PJA1
s__sp._KAN8,g__Nitrosospira,rank_6,s__sp._KAN8,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__sp._KAN8
g__Wenxinia,f__Rhodobacteraceae,rank_5,g__Wenxinia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Wenxinia,
s__marinae4,g__Wenxinia,rank_6,s__marinae4,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Wenxinia,s__marinae4
s__stationis,g__Corynebacterium,rank_6,s__stationis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__stationis
s__sp._P44RR-XXIV,g__Rhizobium,rank_6,s__sp._P44RR-XXIV,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__sp._P44RR-XXIV
s__sp._MRSN12121,g__Pseudomonas,rank_6,s__sp._MRSN12121,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._MRSN12121
s__italicum,g__Penicillium,rank_6,s__italicum,Root,k__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__italicum
s__tumefaciens,g__Agrobacterium,rank_6,s__tumefaciens,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__tumefaciens
s__marcescens,g__Serratia,rank_6,s__marcescens,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__marcescens
f__Gordoniaceae,o__Corynebacteriales,rank_4,f__Gordoniaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,,
g__Gordonia,f__Gordoniaceae,rank_5,g__Gordonia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,
s__malaquae,g__Gordonia,rank_6,s__malaquae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__malaquae
s__sp._WSM1497,g__Mesorhizobium,rank_6,s__sp._WSM1497,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__sp._WSM1497
s__sp._TSRI0395,g__Streptomyces,rank_6,s__sp._TSRI0395,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._TSRI0395
s__enterocolitica,g__Yersinia,rank_6,s__enterocolitica,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__enterocolitica
c__Ustilaginomycetes,p__Basidiomycota,rank_2,c__Ustilaginomycetes,Root,k__Eukaryota,p__Basidiomycota,c__Ustilaginomycetes,,,,
o__Ustilaginales,c__Ustilaginomycetes,rank_3,o__Ustilaginales,Root,k__Eukaryota,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,,,
f__Ustilaginaceae,o__Ustilaginales,rank_4,f__Ustilaginaceae,Root,k__Eukaryota,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,,
g__Sporisorium,f__Ustilaginaceae,rank_5,g__Sporisorium,Root,k__Eukaryota,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,g__Sporisorium,
s__scitamineum,g__Sporisorium,rank_6,s__scitamineum,Root,k__Eukaryota,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,g__Sporisorium,s__scitamineum
s__bacterium_OV450,c__Actinobacteria,rank_3,s__bacterium_OV450,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,s__bacterium_OV450,,,
s__sinaloensis,g__Vibrio,rank_6,s__sinaloensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__sinaloensis
f__Lactobacillaceae,o__Lactobacillales,rank_4,f__Lactobacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,,
g__Lactobacillus,f__Lactobacillaceae,rank_5,g__Lactobacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
s__reuteri,g__Lactobacillus,rank_6,s__reuteri,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__reuteri
s__sp._N621,g__Rhizobium,rank_6,s__sp._N621,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__sp._N621
s__sp._ML3W,g__Sphingobacterium,rank_6,s__sp._ML3W,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__sp._ML3W
s__pseudintermedius,g__Staphylococcus,rank_6,s__pseudintermedius,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__pseudintermedius
g__Polaromonas,f__Comamonadaceae,rank_5,g__Polaromonas,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,
s__sp._C04,g__Polaromonas,rank_6,s__sp._C04,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,s__sp._C04
s__leeuwenhoekii,g__Streptomyces,rank_6,s__leeuwenhoekii,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__leeuwenhoekii
g__Actinobacillus,f__Pasteurellaceae,rank_5,g__Actinobacillus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Actinobacillus,
s__pleuropneumoniae,g__Actinobacillus,rank_6,s__pleuropneumoniae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Actinobacillus,s__pleuropneumoniae
s__thermoleovorans,g__Geobacillus,rank_6,s__thermoleovorans,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,s__thermoleovorans
o__Hypocreales,c__Sordariomycetes,rank_3,o__Hypocreales,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,
f__Nectriaceae,o__Hypocreales,rank_4,f__Nectriaceae,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,,
g__Fusarium,f__Nectriaceae,rank_5,g__Fusarium,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,
s__poae,g__Fusarium,rank_6,s__poae,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__poae
s__bhubaneswarensis,g__Thiomonas,rank_5,s__bhubaneswarensis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,g__Thiomonas,s__bhubaneswarensis,
s__profundum,g__Photobacterium,rank_6,s__profundum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Photobacterium,s__profundum
g__Nitrospirillum,f__Rhodospirillaceae,rank_5,g__Nitrospirillum,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Nitrospirillum,
s__amazonense,g__Nitrospirillum,rank_6,s__amazonense,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Nitrospirillum,s__amazonense
s__sp._NRRL_F-4711,g__Streptomyces,rank_6,s__sp._NRRL_F-4711,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._NRRL_F-4711
s__sp._HH107,g__Janthinobacterium,rank_6,s__sp._HH107,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__sp._HH107
g__Palleronia,f__Rhodobacteraceae,rank_5,g__Palleronia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Palleronia,
s__marisminoris,g__Palleronia,rank_6,s__marisminoris,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Palleronia,s__marisminoris
s__frederiksbergensis,g__Pseudomonas,rank_6,s__frederiksbergensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__frederiksbergensis
c__Negativicutes,p__Firmicutes,rank_2,c__Negativicutes,Root,k__Bacteria,p__Firmicutes,c__Negativicutes,,,,
o__Selenomonadales,c__Negativicutes,rank_3,o__Selenomonadales,Root,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,,,
f__Sporomusaceae,o__Selenomonadales,rank_4,f__Sporomusaceae,Root,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Sporomusaceae,,
